ABS;MUTLAK
ACCRINT;GERÇEKFAİZ
ACCRINTM;GERÇEKFAİZV
ACOS;ACOS
ACOSH;ACOSH
ACOT;ACOT
ACOTH;ACOTH
ADDRESS;ADRES
AGGREGATE;TOPLAMA
AMORDEGRC;AMORDEGRC
AMORLINC;AMORLINC
AND;VE
ARABIC;ARAP
AREAS;ALANSAY
ASC;ASC
ASIN;ASİN
ASINH;ASINH
ATAN;ATAN
ATAN2;ATAN2
ATANH;ATANH
AVEDEV;ORTSAP
AVERAGE;ORTALAMA
AVERAGEA;ORTALAMAA
AVERAGEIF;EĞERORTALAMA
AVERAGEIFS;ÇOKEĞERORTALAMA
BAHTTEXT;BAHTMETİN
BASE;TABAN
BESSELI;BESSELI
BESSELJ;BESSELJ
BESSELK;BESSELK
BESSELY;BESSELY
BETA.DIST;BETA.DAĞ
BETA.INV;BETA.TERS
BETADIST;BETADAĞ
BETAINV;BETATERS
BIN2DEC;BIN2DEC
BIN2HEX;BIN2HEX
BIN2OCT;BIN2OCT
BINOM.DIST;BİNOM.DAĞ
BINOM.DIST.RANGE;BINOM.DAĞ.ARALIK
BINOM.INV;BİNOM.TERS
BINOMDIST;BİNOMDAĞ
BITAND;BİTVE
BITLSHIFT;BİTSOLAKAYDIR
BITOR;BİTVEYA
BITRSHIFT;BİTSAĞAKAYDIR
BITXOR;BİTÖZELVEYA
CALL;ÇAĞIR
CEILING;TAVANAYUVARLA
CEILING.MATH;TAVANAYUVARLA.MATEMATİK
CEILING.PRECISE;CEILING.PRECISE
CELL;HÜCRE
CHAR;DAMGA
CHIDIST;KİKAREDAĞ
CHIINV;KİKARETERS
CHISQ.DIST;KİKARE.DAĞ
CHISQ.DIST.RT;KİKARE.DAĞ.SAĞK
CHISQ.INV;KİKARE.TERS
CHISQ.INV.RT;KİKARE.TERS.SAĞK
CHISQ.TEST;KİKARE.TEST
CHITEST;KİKARETEST
CHOOSE;ELEMAN
CLEAN;TEMİZ
CODE;KOD
COLUMN;SÜTUN
COLUMNS;SÜTUNSAY
COMBIN;KOMBİNASYON
COMBINA;KOMBİNASYONA
COMPLEX;KARMAŞIK
CONCATENATE;BİRLEŞTİR
CONFIDENCE;GÜVENİRLİK
CONFIDENCE.NORM;GÜVENİLİRLİK.NORM
CONFIDENCE.T;GÜVENİLİRLİK.T
CONVERT;ÇEVİR
CORREL;KORELASYON
COS;COS
COSH;COSH
COT;COT
COTH;COTH
COUNT;BAĞ_DEĞ_SAY
COUNTA;BAĞ_DEĞ_DOLU_SAY
COUNTBLANK;BOŞLUKSAY
COUNTIF;EĞERSAY
COUNTIFS;ÇOKEĞERSAY
COUPDAYBS;KUPONGÜNBD
COUPDAYS;KUPONGÜN
COUPDAYSNC;KUPONGÜNDSK
COUPNCD;KUPONGÜNSKT
COUPNUM;KUPONSAYI
COUPPCD;KUPONGÜNÖKT
COVAR;KOVARYANS
COVARIANCE.P;KOVARYANS.P
COVARIANCE.S;KOVARYANS.S
CRITBINOM;KRİTİKBİNOM
CSC;CSC
CSCH;CSCH
CUBEKPIMEMBER;KÜPKPIÜYESİ
CUBEMEMBER;KÜPÜYESİ
CUBEMEMBERPROPERTY;KÜPÜYEÖZELLİĞİ
CUBERANKEDMEMBER;DERECELİKÜPÜYESİ
CUBESET;KÜPKÜMESİ
CUBESETCOUNT;KÜPKÜMESAYISI
CUBEVALUE;KÜPDEĞERİ
CUMIPMT;TOPÖDENENFAİZ
CUMPRINC;TOPANAPARA
DATE;TARİH
DATEVALUE;TARİHSAYISI
DAVERAGE;VSEÇORT
DAY;GÜN
DAYS;GÜN
DAYS360;GÜN360
DB;AZALANBAKİYE
DBCS;DBCS
DCOUNT;VSEÇSAY
DCOUNTA;VSEÇSAYDOLU
DDB;ÇİFTAZALANBAKİYE
DEC2BIN;DEC2BIN
DEC2HEX;DEC2HEX
DEC2OCT;DEC2OCT
DECIMAL;ONDALIK
DEGREES;DERECE
DELTA;DELTA
DEVSQ;SAPKARE
DGET;VAL
DISC;İNDİRİM
DMAX;VSEÇMAK
